rank,ticker,company_name,issuecapitalization_rub,listlevel,e_disclosure_company_id,e_disclosure_company_url,e_disclosure_files_type_4_url,e_disclosure_files_type_3_url,e_disclosure_files_type_2_url,e_disclosure_search_url,e_disclosure_search_terms,link_status,source_board,source_universe,captured_on
70,KFBA,ИНГРАД ПАО ао,71724179820.0,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,KFBA | ИНГРАД ПАО ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
71,MRKP,Россети Центр и Приволжье ао,68486463417.03,2,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,MRKP | Россети Центр и Приволжье ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
72,GEMC,Юнайтед Медикал Груп ПАО,67419000000.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,GEMC | Юнайтед Медикал Груп ПАО,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
73,SGZH,Сегежа ао,65191950000.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,SGZH | Сегежа ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
74,LSRG,Группа ЛСР ПАО ао,65156307966.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""Группа ЛСР"" | Группа ЛСР | LSRG | Группа ЛСР ПАО ао",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
75,KAZT,Куйбышевазот ПАО ао,62263000078.0,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,KAZT | Куйбышевазот ПАО ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
76,UWGN,ПАО НПК ОВК ао,60442419315.2,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,UWGN | ПАО НПК ОВК ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
77,POSI,Группа Позитив ао,57483940800.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""Группа Позитив"" | Positive Technologies | POSI | Группа Позитив ао",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
78,USBN,БАНК УРАЛСИБ ПАО ао,54020204603.55,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,USBN | БАНК УРАЛСИБ ПАО ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
79,MRKU,Россети Урал (ПАО) ао,52510749718.03,2,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,MRKU | Россети Урал (ПАО) ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
