rank,ticker,company_name,share_type,edisclosure_company_id,edisclosure_url,moex_source_url
16,SNGSP,"ПАО ""Сургутнефтегаз""",Привилегированные,312,https://www.e-disclosure.ru/portal/company.aspx?id=312,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
17,MTSS,"ПАО ""МТС""",Обыкновенные,236,https://www.e-disclosure.ru/portal/company.aspx?id=236,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
18,IRAO,"ПАО ""Интер РАО""",Обыкновенные,12213,https://www.e-disclosure.ru/portal/company.aspx?id=12213,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
19,MOEX,ПАО Московская Биржа,Обыкновенные,43,https://www.e-disclosure.ru/portal/company.aspx?id=43,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
20,HEAD,"МКПАО ""Хэдхантер""",Обыкновенные,39017,https://www.e-disclosure.ru/portal/company.aspx?id=39017,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
21,RUAL,"МКПАО ""Объединенная компания ""РУСАЛ""",Обыкновенные,38288,https://www.e-disclosure.ru/portal/company.aspx?id=38288,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
22,TATNP,"ПАО ""Татнефть"" им. В.Д. Шашина",Привилегированные,118,https://www.e-disclosure.ru/portal/company.aspx?id=118,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
23,PIKK,"ПАО ""Группа Компаний ПИК""",Обыкновенные,44,https://www.e-disclosure.ru/portal/company.aspx?id=44,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
24,CHMF,"ПАО ""Северсталь""",Обыкновенные,30,https://www.e-disclosure.ru/portal/company.aspx?id=30,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
25,NLMK,"ПАО ""НЛМК""",Обыкновенные,2509,https://www.e-disclosure.ru/portal/company.aspx?id=2509,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
26,DOMRF,"ПАО ""ДОМ.РФ""",Обыкновенные,1263,https://www.e-disclosure.ru/portal/company.aspx?id=1263,https://fs.moex.com/f/23846/novye-bazy-indeksov-4-ijunja.xlsx
